Country_Name_ID,Country_Name
1,United Kingdom
2,France
3,USA
4,Belgium
5,Australia
6,EIRE
7,Germany
8,Portugal
9,Denmark
10,Netherlands
11,Poland
12,Channel Islands
13,Spain
14,Cyprus
15,Greece
16,Norway
17,Austria
18,Sweden
19,United Arab Emirates
20,Finland
21,Italy
22,Switzerland
23,Japan
24,Unspecified
25,Nigeria
26,Malta
27,RSA
28,Singapore
29,Bahrain
30,Thailand
31,Israel
32,Lithuania
33,West Indies
34,Korea
35,Brazil
36,Canada
37,Iceland
38,Lebanon
39,Saudi Arabia
40,Czech Republic
41,European Community
