Customer_ID,Customer_Country_Name,Customer_Gender,Customer_Age
12346,United Kingdom,MALE,58.0
12347,Iceland,female,56.0
12348,Finland,male,38.0
12349,Italy,female,50.0
12350,Norway,female,66.0
12351,Unspecified,female,9.0
12352,Norway,male,56.0
12353,Bahrain,other,111.0
12354,Spain,nan,64.0
12355,Bahrain,male,52.0
12356,Portugal,female,58.0
12357,Switzerland,female,27.0
12358,Austria,other,38.0
12359,Cyprus,female,17.0
12360,Austria,male,76.0
12361,Belgium,male,31.0
12362,Belgium,other,78.0
12363,Unspecified,male,57.0
12364,Belgium,female,21.0
12365,Cyprus,female,36.0
12366,Cyprus,male,44.0
12367,Denmark,female,89.0
12368,Cyprus,male,50.0
12369,Austria,female,66.0
12370,Austria,female,71.0
12371,Switzerland,female,40.0
12372,Denmark,nan,26.0
12373,Austria,male,85.0
12374,Austria,male,49.0
12375,Finland,male,111.0
12376,Switzerland,male,77.0
12377,Switzerland,male,27.0
12378,Switzerland,male,36.0
12379,Belgium,female,18.0
12380,Belgium,male,20.0
12381,Norway,female,71.0
12382,Netherlands,female,21.0
12383,Belgium,male,68.0
12384,Switzerland,male,85.0
12385,Belgium,female,101.0
12386,Australia,male,25.0
12387,Australia,nan,49.0
12388,Australia,female,88.0
12389,Australia,male,65.0
12390,Belgium,male,30.0
12391,Cyprus,male,86.0
12392,Australia,female,64.0
12393,Australia,female,48.0
12394,Belgium,male,36.0
12395,Belgium,other,65.0
12396,RSA,female,42.0
12397,Belgium,female,35.0
12398,Switzerland,female,80.0
12399,Belgium,female,59.0
12400,Australia,female,47.0
12401,Belgium,other,92.0
12402,Belgium,female,46.0
12403,Denmark,male,54.0
12404,Finland,male,52.0
12405,Finland,female,32.0
12406,Denmark,male,21.0
12407,Belgium,female,24.0
12408,Belgium,female,58.0
12409,Switzerland,female,36.0
12410,Switzerland,male,53.0
12411,Australia,male,16.0
12412,Denmark,male,53.0
12413,Spain,female,44.0
12414,Austria,male,5.0
12415,Australia,male,53.0
12416,Australia,male,50.0
12417,Belgium,female,28.0
12418,Switzerland,nan,72.0
12419,Spain,male,42.0
12420,Cyprus,male,36.0
12421,Spain,male,53.0
12422,Australia,male,62.0
12423,Denmark,male,28.0
12424,Australia,male,55.0
12425,Portugal,female,39.0
12426,Germany,male,51.0
12427,Germany,female,42.0
12428,Finland,male,73.0
12429,Denmark,female,43.0
12430,Norway,female,20.0
12431,Belgium,male,106.0
12432,Norway,male,64.0
12433,Norway,female,19.0
12434,Australia,male,114.0
12435,Denmark,male,37.0
12436,Norway,male,70.0
12437,France,female,32.0
12438,Norway,female,58.0
12439,Cyprus,female,50.0
12440,Austria,female,45.0
12441,France,female,55.0
12442,Spain,male,55.0
12443,Norway,male,108.0
12444,Norway,female,45.0
12445,Spain,female,40.0
12446,RSA,male,66.0
12447,Belgium,male,57.0
12448,Spain,nan,33.0
12449,Denmark,female,31.0
12450,Spain,male,53.0
12451,Switzerland,female,51.0
12452,Switzerland,male,38.0
12453,Austria,female,36.0
12454,Spain,female,34.0
12455,Cyprus,male,53.0
12456,Switzerland,female,62.0
12457,Switzerland,female,99.0
12458,Switzerland,MALE,44.0
12459,Spain,Female,57.0
12460,Belgium,male,36.0
12461,Switzerland,female,34.0
12462,Spain,female,79.0
12463,Belgium,female,41.0
12464,Belgium,female,48.0
12465,Belgium,female,50.0
12466,France,other,46.0
12467,USA,male,41.0
12468,Germany,female,47.0
12469,Thailand,male,45.0
12470,Unspecified,male,23.0
12471,Germany,male,30.0
12472,Germany,female,33.0
12473,Germany,male,22.0
12474,Germany,female,76.0
12475,Germany,male,28.0
12476,Germany,male,72.0
12477,Germany,female,33.0
12478,Greece,female,51.0
12479,Germany,female,49.0
12480,Germany,male,35.0
12481,Germany,male,61.0
12482,Sweden,female,35.0
12483,Sweden,male,50.0
12484,Spain,male,17.0
12485,Sweden,female,34.0
12486,Sweden,male,51.0
12487,Sweden,male,52.0
12488,France,female,57.0
12489,France,male,13.0
12490,France,Female,57.0
12491,France,male,67.0
12492,Germany,male,36.0
12493,France,nan,67.0
12494,France,male,59.0
12495,Sweden,female,40.0
12496,Spain,male,89.0
12497,Germany,female,72.0
12498,Germany,female,58.0
12499,Germany,female,41.0
12500,Germany,female,40.0
12501,Germany,female,33.0
12502,United Kingdom,male,91.0
12503,Spain,male,63.0
12504,Germany,male,19.0
12505,Italy,female,40.0
12506,France,female,26.0
12507,United Kingdom,male,46.0
12508,France,female,59.0
12509,France,female,29.0
12510,Spain,female,40.0
12511,Greece,male,33.0
12512,Israel,male,52.0
12513,France,female,61.0
12514,United Kingdom,female,59.0
12515,Italy,female,75.0
12516,Germany,male,39.0
12517,Germany,male,20.0
12518,Germany,female,39.0
12519,Germany,female,46.0
