Invoice_Number_ID,Invoice_Number,Invoice_Status
1,489434,shipped
2,489435,shipped
3,489436,shipped
4,489437,shipped
5,489438,shipped
6,489439,shipped
7,489440,shipped
8,489441,shipped
9,489442,shipped
10,489443,shipped
11,489444,shipped
12,489445,shipped
13,489446,shipped
14,489447,canceled
15,489448,shipped
16,489450,shipped
17,489460,shipped
18,489461,shipped
19,489462,shipped
20,489465,shipped
21,489488,shipped
22,489505,NULL
23,489514,shipped
24,489517,shipped
25,489519,canceled
26,489520,returned
27,489522,shipped
28,489523,shipped
29,489526,shipped
30,489529,canceled
31,489531,shipped
32,489532,shipped
33,489533,
34,489536,shipped
35,489537,shipped
36,489539,shipped
37,489540,shipped
38,489542,shipped
39,489544,shipped
40,489545,shipped
41,489546,nan
42,489547,shipped
43,489550,shipped
44,489552,shipped
45,489556,shipped
46,489557,shipped
47,489558,returned
48,489559,shipped
49,489560,shipped
50,489561,shipped
51,489562,shipped
52,489564,shipped
53,489566,shipped
54,489567,shipped
55,489569,shipped
56,489571,shipped
57,489572,shipped
58,489573,shipped
59,489574,shipped
60,489575,shipped
61,489576,shipped
62,489579,shipped
63,489580,shipped
64,489581,shipped
65,489582,shipped
66,489584,shipped
67,489585,shipped
68,489586,shipped
69,489590,
70,489593,shipped
71,489594,returned
72,489598,shipped
73,489599,shipped
74,489606,shipped
75,489611,shipped
76,489613,shipped
77,489617,returned
78,489634,shipped
79,489635,shipped
80,489637,shipped
81,489639,canceled
82,489640,shipped
83,489641,shipped
84,489644,shipped
85,489645,shipped
86,489650,returned
87,489652,shipped
88,489654,NULL
89,489656,shipped
90,489657,shipped
91,489658,shipped
92,489661,
93,489662,shipped
94,489664,shipped
95,489665,shipped
96,489666,shipped
97,489667,returned
98,489668,shipped
99,489669,shipped
100,489670,shipped
101,489671,shipped
102,489672,shipped
103,489673,canceled
104,489674,shipped
105,489675,returned
106,489676,shipped
107,489677,shipped
108,489678,returned
109,489679,shipped
110,489680,nan
111,489681,shipped
112,489682,shipped
113,489683,returned
114,489684,shipped
115,489687,shipped
116,489688,shipped
117,489695,shipped
118,489699,returned
119,489702,shipped
120,489705,shipped
121,489723,shipped
122,489725,shipped
123,489726,shipped
124,489727,shipped
125,489728,canceled
126,489733,shipped
127,489743,shipped
128,489748,shipped
129,489764,shipped
130,489765,shipped
131,489766,shipped
132,489780,NULL
133,489782,shipped
134,489783,shipped
135,489784,shipped
136,489785,shipped
137,489786,shipped
138,489787,shipped
139,489788,canceled
140,489789,shipped
141,489790,shipped
142,489791,shipped
143,489792,shipped
144,489793,shipped
145,489794,shipped
146,489795,shipped
147,489796,shipped
148,489797,shipped
149,489798,shipped
150,489800,shipped
151,489801,shipped
152,489802,NULL
153,489804,shipped
154,489805,shipped
155,489807,shipped
156,489808,shipped
157,489809,shipped
158,489810,shipped
159,489811,nan
160,489812,shipped
161,489814,shipped
162,489815,shipped
163,489816,shipped
164,489817,shipped
165,489818,shipped
166,489819,shipped
167,489822,shipped
168,489823,shipped
169,489824,shipped
170,489825,shipped
171,489826,shipped
172,489827,nan
173,489829,shipped
174,489830,shipped
175,489831,shipped
176,489832,shipped
177,489833,shipped
178,489834,shipped
179,489835,shipped
180,489837,shipped
181,489840,shipped
182,489855,shipped
183,489862,shipped
184,489863,shipped
185,489864,shipped
186,489865,shipped
187,489866,shipped
188,489868,shipped
189,489869,shipped
190,489870,returned
191,489871,shipped
192,489872,shipped
193,489873,shipped
194,489874,shipped
195,489875,returned
196,489876,returned
197,489877,shipped
198,489878,shipped
199,489879,shipped
200,489880,
201,489883,
202,489884,shipped
203,489888,returned
204,489889,shipped
205,489890,shipped
206,489891,shipped
207,489893,shipped
208,489894,shipped
209,489895,returned
210,489896,returned
211,489897,shipped
212,489900,NULL
213,489902,shipped
214,489904,shipped
215,489905,shipped
216,489906,shipped
217,489907,shipped
218,489908,
219,489909,shipped
220,489910,shipped
221,489912,shipped
222,489913,shipped
223,489914,shipped
224,489915,shipped
225,489916,shipped
226,489932,
227,489935,shipped
228,489994,canceled
229,489996,shipped
230,489998,returned
231,489999,shipped
232,490000,shipped
233,490001,shipped
234,490002,shipped
235,490003,shipped
236,490004,shipped
237,490005,shipped
238,490006,shipped
239,490008,shipped
